predicted_scores,ground_truth_scores
0.06392944,74.39795
0.2385561,53.57873
-0.050138056,74.145645
0.26328674,0.0
0.26328674,0.0
0.26100254,27.913933
-0.06988743,71.784256
0.2641293,9.4717455
0.25894699,33.2832
0.05366743,87.826744
0.2533555,50.123245
0.26328674,0.0
0.26328674,0.0
0.26341215,11.715638
-0.042382743,97.24677
0.26394108,21.927889
0.25722417,35.32177
-0.07982707,111.7747
-0.071105815,62.929707
-0.07902431,73.54584
0.26328674,0.0
0.2501095,37.46272
-0.076723315,58.91249
-0.066025056,48.863747
-0.07978485,90.83144
0.2615025,30.519428
0.26328674,0.0
-0.07998905,104.704926
-0.07985534,101.31922
0.2638876,15.035606
0.2620843,17.103474
0.26350176,38.976727
0.26328674,0.0
0.24874268,26.96037
0.05396289,51.011387
0.26366073,0.0
0.26410145,11.32471
0.26366073,0.0
-0.079924576,85.01807
-0.063215785,64.72585
0.26366073,0.0
0.2396699,41.367302
0.086043194,64.62639
0.17871897,48.528156
-0.07457646,95.0386
0.26366073,0.0
-0.07383454,94.63457
0.25613913,14.430549
-0.07509041,57.393055
0.22570238,38.595688
-0.077426165,63.703342
0.26397702,15.147109
-0.079372436,70.64503
0.26366073,0.0
0.08460069,40.316162
0.25759745,30.69992
-0.079454936,74.667046
-0.077377476,53.30564
0.26111573,30.421694
0.26366073,0.0
-0.077160604,71.64225
0.033759974,53.05298
0.23536123,35.233143
-0.037610456,56.341156
0.25185052,34.05022
0.26366073,0.0
0.2629355,22.461159
-0.07386542,70.94909
0.2641584,0.0
0.264783,12.523344
0.043577295,53.175194
-0.07998478,79.87842
0.24919909,40.3523
0.2641584,0.0
0.25418192,32.754562
0.118947156,36.60417
0.2648876,10.252516
0.2641584,0.0
-0.049957566,76.55614
0.26417184,0.0
-0.0739129,92.52521
-0.0739129,90.884346
0.26261264,15.537141
-0.07997488,94.03481
0.24589334,27.514599
-0.078922324,69.06535
-0.07674132,61.46372
0.26417184,0.0
-0.07575428,53.17308
-0.07361625,47.53984
0.26328373,20.421701
0.11624865,26.079483
-0.07921506,61.34682
0.2641584,0.0
-0.07945315,75.69834
-0.07981401,72.38924
-0.07974761,70.14186
0.2612708,21.236876
0.26454157,13.0353
0.2641584,0.0
0.2489442,45.67949
0.26704857,0.0
0.024203153,75.78113
0.26605988,11.339054
0.26704857,0.0
0.20191367,62.735683
0.26278144,26.665407
-0.07526437,73.310074
0.26704857,0.0
0.043324552,79.95945
0.25988343,32.009865
0.053524252,78.975685
0.20197824,55.04443
0.26704857,0.0
-0.042477824,102.70082
0.26189685,15.7831
-0.066934645,61.62614
-0.07855794,71.760216
-0.07958172,106.81759
0.23890656,43.298016
0.26149043,23.365932
0.26704857,0.0
0.26478025,19.819567
0.24885245,35.163418
-0.038583815,46.510612
0.073143,43.593002
-0.07978682,86.274445
0.26647395,0.0
-0.077732965,78.399765
0.24890067,62.58921
0.25823253,47.031506
-0.058995176,54.3935
0.26201934,13.649609
0.26704857,0.0
0.26374486,11.714567
0.2628628,0.0
0.24951692,30.07521
0.24643677,30.248806
-0.07995872,91.37246
0.12963139,44.776382
0.2628472,0.0
-0.079198375,68.36853
0.15039413,42.614723
-0.06319538,48.3747
-0.04981739,58.589684
0.2628472,0.0
0.25246853,8.623103
-0.07644052,92.90512
0.24333033,19.46582
0.2628472,0.0
0.2016434,28.617188
-0.07990397,100.238785
0.26073906,11.037306
-0.07925418,69.02754
-0.078074634,61.988533
0.2628472,0.0
0.21443853,33.317364
-0.07933029,63.381935
-0.07701783,48.3778
0.26385024,22.838978
-0.07938647,67.58398
0.2628472,0.0
-0.07892159,60.250015
-0.078050986,68.145226
0.23172727,41.420845
0.26029918,15.13759
0.26138008,7.880272
0.2628628,0.0
0.24836113,34.80295
0.08541754,65.857574
0.26301995,0.0
0.24805461,35.73736
0.23021577,42.49707
0.26301995,0.0
-0.076823145,68.53124
0.26416287,6.9169397
0.26301995,0.0
0.26000327,18.02858
0.2531911,28.507935
0.18661687,53.61612
-0.0763332,100.24091
0.26095918,11.739932
0.26237193,0.0
-0.075821295,99.972
0.23824644,18.14843
-0.07984323,106.36986
0.18529046,31.249874
-0.0699247,57.538605
-0.078093834,63.3063
0.26301995,0.0
0.0828677,38.20797
0.2578093,25.460838
-0.07714731,52.283257
-0.07986563,64.71711
-0.08006205,72.07039
0.26301995,0.0
-0.0796734,72.89474
0.2534089,21.246271
0.25623506,21.111399
0.26274145,8.934551
0.2641036,9.347234
0.26301995,0.0
0.20874588,43.4226
0.23500063,35.59967
0.26533592,0.0
0.17840739,46.68236
0.26406914,0.0
0.26091594,5.3259907
-0.046381485,62.748814
-0.07975959,81.40062
0.26533592,0.0
0.26018363,10.5541315
0.06433892,53.38598
0.2617484,8.406882
0.25974473,27.261974
-0.038028408,75.99002
0.26533592,0.0
-0.07112224,88.66926
-0.07917592,67.62652
-0.07980999,102.72369
0.20895411,38.0878
0.26346108,13.26684
-0.07671765,57.98573
0.26406872,0.0
0.20086074,38.73011
-0.079099394,64.71629
-0.0784345,59.437683
0.11721506,39.75897
0.26196763,22.310278
0.26533592,0.0
-0.0796096,75.735466
-0.07969818,73.80284
0.22120166,20.510662
0.26174587,10.13903
-0.079848245,87.90972
0.26533592,0.0
0.26340735,20.523073
0.26519957,0.0
0.2426454,48.724457
0.23910333,48.616158
0.25741702,33.111797
0.26465192,8.059516
0.26519957,0.0
-0.0789148,75.76154
0.26519957,0.0
0.24891527,38.18877
0.26323652,-2.6400151
0.23568378,42.576244
0.03346413,89.84228
0.053622615,90.43421
0.26519957,0.0
0.26181704,13.03349
0.14981668,48.05994
0.26120064,20.295948
-0.07983887,99.45911
-0.07668762,69.260056
0.25041053,35.707954
0.26519957,0.0
0.26457226,19.510098
0.041658707,43.371395
-0.0797766,93.40865
-0.06569362,52.899216
0.26058406,33.024574
0.2639362,0.0
0.15033954,55.630836
-0.07893093,81.44321
0.24898317,38.386448
0.2206069,46.661366
0.17859732,58.499516
0.26519957,0.0
0.25716752,39.376675
0.2256827,65.23107
0.096584335,80.121284
0.26542068,0.0
-0.07901737,85.48563
0.26364627,10.139264
0.26542068,0.0
0.26542068,0.0
0.22089681,47.80251
0.14005727,64.1824
0.014880719,81.20269
0.2632179,9.8083
0.26234674,26.718212
0.26542068,0.0
0.006398578,101.272865
-0.07301349,64.76194
0.2565127,39.10614
-0.07894145,77.633446
-0.07965188,89.07333
0.26518154,22.149317
0.26542068,0.0
0.2616938,32.288795
0.23329036,46.665012
-0.077956714,72.87395
0.26553532,20.381731
0.2580896,36.500023
0.26542068,0.0
0.05306805,67.11404
0.26455063,10.904306
0.26366535,15.8044615
0.26368865,16.145172
0.26372066,7.2472825
0.26544026,0.0
0.033265628,71.619705
-0.07462891,76.23533
0.2678528,0.0
0.26690072,15.821826
0.25624695,53.281982
0.26522237,36.783047
-0.07984008,91.08313
0.26784694,0.0
0.2522536,34.315395
0.26643923,5.514116
-0.02185178,89.530045
0.2678528,0.0
0.2678528,0.0
0.0966996,72.355354
0.26523545,16.644123
0.074828215,73.104805
-0.0791787,75.24581
-0.079742104,95.343704
0.14977238,45.00433
-0.078718044,70.58976
0.26522487,13.77281
0.2678528,0.0
0.23242001,41.545773
-0.07354026,56.267384
0.25851473,38.07307
0.2680185,20.696424
-0.079386726,73.06325
0.2678528,0.0
-0.0012658963,54.76503
-0.07982022,95.77409
0.26301405,30.780235
0.2211372,34.074253
0.2667121,16.429121
0.2678528,0.0
0.2678574,0.0
-0.07786122,75.20085
0.22142498,43.696255
-0.07925683,79.84748
0.2678574,0.0
0.25441405,22.538784
0.14042668,49.973083
0.26644325,12.116677
-0.042438153,72.0575
0.0644478,45.829014
-0.042438153,67.837715
0.2678574,0.0
0.26516563,18.143108
-0.056407623,93.03653
-0.058977287,88.22093
0.2678574,0.0
0.26054165,32.71313
-0.07937107,71.21218
0.119224906,34.50292
-0.058758833,50.194324
-0.07952945,76.09082
-0.07995782,106.173355
0.26871467,0.0
0.24887168,28.180912
-0.07877057,60.85909
0.07400125,37.069668
-0.063770525,42.393658
0.2645967,17.750595
0.2678574,0.0
-0.07950845,84.844055
-0.079812676,102.67047
0.16048314,49.219868
0.26690635,11.09909
0.26526272,16.08341
0.2678574,0.0
0.25802892,24.090256
0.1863575,76.28674
0.2614979,0.0
0.2528524,44.74511
0.26065502,10.712713
-0.053356227,84.91379
0.23482887,56.16124
0.26344097,0.0
0.22633557,59.740326
0.26344097,0.0
0.19450662,75.29291
0.2529667,40.313194
0.26344097,0.0
0.25703546,26.185667
-0.046496466,95.808044
-0.046099395,54.62806
-0.07978993,94.204865
0.2607451,11.166483
0.24811138,33.63371
-0.07772392,67.46534
0.26344097,0.0
0.26161832,23.835066
